method,selection_order,episode_index,final_score,saliency_score,diversity_score,raw_diversity_distance,source_episode_score
pc_only,1,30,1.0,1.0,1.0,1.0,1.0
pc_only,2,18,0.9279718995094299,0.9279718995094299,0.40105146169662476,0.05980492755770683,0.9279718995094299
pc_only,3,36,0.8907129764556885,0.8907129764556885,0.41879627108573914,0.0613497793674469,0.8907129764556885
pc_only,4,33,0.8803145289421082,0.8803145289421082,0.5397799611091614,0.07907277345657349,0.8803145289421082
pc_only,5,31,0.8364642262458801,0.8364642262458801,0.3999752402305603,0.05580272898077965,0.8364642262458801
