variant,selected_episodes,num_seeds,test_original_mse_mean,test_original_mse_std,test_original_mse_min,test_original_mse_max,test_normalized_mse_mean,test_normalized_mse_std
action_delta_only,30 36 20 25 8,5,0.008166156895458698,0.0003936411665489938,0.007773953955620527,0.008723885752260685,0.3485588490962982,0.0114568231201816
coverage_only,0 5 37 22 2,5,0.00819086590781808,0.0007009503399112179,0.007587287575006485,0.008967663161456585,0.32489240169525146,0.012358149105193795
pc_only,30 18 36 33 31,5,0.006554321758449078,0.0016669761638626417,0.0051853470504283905,0.00859246589243412,0.4167272329330444,0.030960541375531395
pc_ras_full,36 20 6 30 18,5,0.0058541916310787204,0.0015751931921108167,0.004258389119058847,0.008163652382791042,0.3494675099849701,0.02134682137259873
pc_ras_no_coverage,36 18 30 20 6,5,0.0058541916310787204,0.0015751931921108167,0.004258389119058847,0.008163652382791042,0.3494675099849701,0.02134682137259873
visual_delta_only,37 0 33 18 20,5,0.008891930058598518,0.00046621697951913674,0.008222050964832306,0.00939125008881092,0.3432720720767975,0.0052957989997609485
