method,variant,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
ablation_pc_only,pc_only,data/coresets/ablation_pc_only_top5.json,0,30 18 36 33 31,2000,2000,2000,27,0.3595841974020004,0.3584120571613312,1.0698051452636719,0.039052899926900864,0.06555133312940598,0.4227513074874878,0.1869117170572281,0.39374423027038574,0.3310679495334625,0.4555773437023163,1.0143446922302246,0.056362006813287735,0.13764290511608124,0.497233122587204,0.09240584820508957,0.8402207493782043,0.5508320927619934,0.005261971615254879,0.00012994992721360177,0.00325067644007504,0.0015701992670074105,0.0013828524388372898,0.003872463246807456,0.002253306331112981,0.024374352768063545,0.008145032450556755,0.00012321348185651004,0.004691449459642172,0.0032970637548714876,0.0016264896839857101,0.0019144740654155612,0.004808387719094753,0.04055415093898773
ablation_pc_only,pc_only,data/coresets/ablation_pc_only_top5.json,1,30 18 36 33 31,2000,2000,2000,88,0.30487291514873505,0.30296772718429565,0.9332184195518494,0.021837648004293442,0.033983051776885986,0.3750486671924591,0.16219373047351837,0.3529026210308075,0.24158985912799835,0.39125898480415344,1.0675697326660156,0.036124542355537415,0.09098094701766968,0.5594549775123596,0.06905640661716461,0.5557596683502197,0.35986652970314026,0.003876930335536599,0.00011335878662066534,0.0018177126767113805,0.000814020459074527,0.0012268158607184887,0.0033603417687118053,0.00201957649551332,0.01778668724000454,0.005464539397507906,0.00012967881048098207,0.003006919752806425,0.002179334405809641,0.001830023480579257,0.0014307188102975488,0.003180484985932708,0.026494614779949188
ablation_pc_only,pc_only,data/coresets/ablation_pc_only_top5.json,2,30 18 36 33 31,2000,2000,2000,25,0.35671989619731903,0.3562083840370178,1.1086938381195068,0.04775458574295044,0.058972910046577454,0.4015023410320282,0.1843855232000351,0.33295321464538574,0.35919618606567383,0.445000022649765,1.0495985746383667,0.07458188384771347,0.1410868763923645,0.4538038372993469,0.10428882390260696,0.7114496827125549,0.5801905393600464,0.005572344642132521,0.00013467378448694944,0.003974976483732462,0.001412619836628437,0.0013133479515090585,0.0038201159331947565,0.0019054105505347252,0.026445267722010612,0.00859246589243412,0.00012749551387969404,0.0062080142088234425,0.0033795530907809734,0.0014844295801594853,0.0021606674417853355,0.004071458708494902,0.0427156463265419
ablation_pc_only,pc_only,data/coresets/ablation_pc_only_top5.json,3,30 18 36 33 31,2000,2000,2000,104,0.29852665215730667,0.2964564263820648,0.8519197702407837,0.026234127581119537,0.0354560948908329,0.38977697491645813,0.17212529480457306,0.3597492277622223,0.23993343114852905,0.3937374949455261,1.04258131980896,0.04892371594905853,0.09206965565681458,0.6000609993934631,0.08108057826757431,0.5799793601036072,0.3114670217037201,0.003957286011427641,0.00010348336945753545,0.002183669013902545,0.0008493048953823745,0.0012749916641041636,0.0035661086440086365,0.0020587570033967495,0.01766468584537506,0.0051853470504283905,0.00012664319365285337,0.004072301089763641,0.002205410273745656,0.001962848473340273,0.001679835608229041,0.0033190837129950523,0.022931307554244995
ablation_pc_only,pc_only,data/coresets/ablation_pc_only_top5.json,4,30 18 36 33 31,2000,2000,2000,94,0.31656401604413986,0.314694881439209,0.9823905229568481,0.02717340737581253,0.05082608386874199,0.3788885772228241,0.1751442849636078,0.3378608226776123,0.250580370426178,0.3980623185634613,1.1204042434692383,0.0322965607047081,0.06739716231822968,0.5673282742500305,0.08576575666666031,0.5540167689323425,0.35922759771347046,0.004121250472962856,0.00011933170026168227,0.0022618453949689865,0.00121747434604913,0.0012393740471452475,0.0036286532413214445,0.001933495281264186,0.01844858005642891,0.005384224001318216,0.00013609652523882687,0.002688285894691944,0.0016144122928380966,0.0018557769944891334,0.0017769017722457647,0.003170505864545703,0.026447588577866554
ablation_pc_ras_no_coverage,pc_ras_no_coverage,data/coresets/ablation_pc_ras_no_coverage_top5.json,0,36 18 30 20 6,2000,2000,2000,36,0.32519569247961044,0.32309967279434204,0.8971812725067139,0.03172018378973007,0.03821617364883423,0.4913809597492218,0.17737704515457153,0.32694774866104126,0.29887428879737854,0.35632866621017456,1.0545614957809448,0.07109398394823074,0.11000692844390869,0.41797423362731934,0.13386325538158417,0.3808818459510803,0.3259188234806061,0.0053651295602321625,9.875166142592207e-05,0.0027059621643275023,0.0009606656385585666,0.0014204366598278284,0.004126070532947779,0.0023773666471242905,0.02586665377020836,0.006320728920400143,0.00011607434862526134,0.006064832676202059,0.002765313722193241,0.0012082394678145647,0.0031138702761381865,0.0027695531025528908,0.028207214549183846
ablation_pc_ras_no_coverage,pc_ras_no_coverage,data/coresets/ablation_pc_ras_no_coverage_top5.json,1,36 18 30 20 6,2000,2000,2000,41,0.326120063662529,0.32395580410957336,0.9445949196815491,0.025419184938073158,0.03943203017115593,0.5046434998512268,0.16846029460430145,0.30653950572013855,0.27860137820243835,0.33998551964759827,1.0505881309509277,0.06156985089182854,0.10557291656732559,0.4065112769603729,0.10892844945192337,0.32281288504600525,0.3239149749279022,0.004997439682483673,0.0001039704293361865,0.0021684381645172834,0.000991228618659079,0.001458778977394104,0.003918655216693878,0.002228977857157588,0.024112027138471603,0.006015975493937731,0.00011563718726392835,0.005252349656075239,0.0026538518723100424,0.0011751053389161825,0.002533844904974103,0.002347307512536645,0.028033731505274773
ablation_pc_ras_no_coverage,pc_ras_no_coverage,data/coresets/ablation_pc_ras_no_coverage_top5.json,2,36 18 30 20 6,2000,2000,2000,25,0.3250782787799835,0.3236525356769562,0.8951668739318848,0.047639500349760056,0.0627807229757309,0.43239450454711914,0.17674832046031952,0.28249862790107727,0.36833927035331726,0.3836950957775116,1.0556761026382446,0.08133143931627274,0.15048770606517792,0.41754603385925293,0.1202409416437149,0.4058806598186493,0.45470285415649414,0.006433536298573017,9.85300139291212e-05,0.004063996486365795,0.0015781600959599018,0.001249925117008388,0.004111442249268293,0.0020541634876281023,0.03187853842973709,0.008163652382791042,0.00011619709403021261,0.00693815853446722,0.003782904241234064,0.0012070018565282226,0.002796991029754281,0.0029513242188841105,0.03935299068689346
ablation_pc_ras_no_coverage,pc_ras_no_coverage,data/coresets/ablation_pc_ras_no_coverage_top5.json,3,36 18 30 20 6,2000,2000,2000,152,0.2899347022175789,0.28776994347572327,0.9059714674949646,0.022190332412719727,0.04123759642243385,0.3873891532421112,0.15204736590385437,0.2762681841850281,0.22928549349308014,0.33637914061546326,1.080307126045227,0.04506963491439819,0.08161162585020065,0.5004358887672424,0.10150318592786789,0.34367701411247253,0.20204977691173553,0.004219825379550457,9.971921099349856e-05,0.0018929976504296064,0.001036616857163608,0.001119827851653099,0.0035368571989238262,0.0020088599994778633,0.019843896850943565,0.004258389119058847,0.00011890815949300304,0.0038447719998657703,0.00205152272246778,0.0014466148568317294,0.0023611243814229965,0.002499020891264081,0.017486760392785072
ablation_pc_ras_no_coverage,pc_ras_no_coverage,data/coresets/ablation_pc_ras_no_coverage_top5.json,4,36 18 30 20 6,2000,2000,2000,133,0.2840394079685211,0.281599223613739,0.8281623721122742,0.019205579534173012,0.03410075977444649,0.40562596917152405,0.16276207566261292,0.27077651023864746,0.25056135654449463,0.3309491276741028,1.0552161931991577,0.040710948407649994,0.0807289332151413,0.48560479283332825,0.10830443352460861,0.318097859621048,0.22798077762126923,0.004457079339772463,9.11547540454194e-05,0.00163837312720716,0.0008572126971557736,0.0011725465301424265,0.0037861063610762358,0.001968930009752512,0.02168523333966732,0.004512212239205837,0.0001161463515018113,0.003472938435152173,0.0020293339621275663,0.0014037395594641566,0.0025193297769874334,0.002313022967427969,0.019730975851416588
