method,budget_percent,budget_episodes,num_seeds,test_original_mse_mean,test_original_mse_std,test_normalized_mse_mean,test_normalized_mse_std
PC-RAS,2,1,5,0.012034501880407333,0.0003961419667247001,0.7112695217132569,0.017551382950798805
PC-RAS,5,2,5,0.012211467698216438,0.001248290606368256,0.49964572191238404,0.031377698709655295
PC-RAS,10,4,5,0.006227435264736414,0.0006785631226607372,0.35875197052955626,0.009248220523968084
PC-RAS,20,8,5,0.004606734402477742,0.0005443994012902243,0.2986912548542023,0.004920250968702872
Random,2,1,5,0.015741253830492498,0.010237133599517702,151.22439279556275,322.28782486468117
Random,5,2,5,0.009512313734740018,0.00130818952556062,0.5586422562599183,0.1646240728625907
Random,10,4,5,0.007050853129476309,0.0004458169117577018,0.47844833731651304,0.19684923962145656
Random,20,8,5,0.006573731638491153,0.0013279015021424477,0.37738819122314454,0.049575841616191274
