seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
0,2 16 24 26 32,2000,2000,2000,26,0.7028851807117462,0.7040352821350098,3.090341567993164,0.04441217705607414,0.055758845061063766,0.8895494937896729,0.2192590981721878,0.31776776909828186,0.3111579716205597,0.6510648131370544,2.7587907314300537,0.077278733253479,0.16950982809066772,0.599611759185791,0.11201617121696472,0.4839095175266266,0.3563367426395416,0.006368802394717932,0.0002712098939809948,0.004510556347668171,0.0017544211586937308,0.0019855464342981577,0.005435900297015905,0.0019245317671447992,0.028699452057480812,0.007619558833539486,0.00024211306299548596,0.00784853845834732,0.005333538167178631,0.0013383798068389297,0.0027771200984716415,0.0029307561926543713,0.0328664630651474
1,4 7 8 16 36,2000,2000,2000,31,0.33095136284828186,0.32962170243263245,0.681482195854187,0.040801990777254105,0.05885719135403633,0.7952976822853088,0.20599818229675293,0.2209213227033615,0.3039931356906891,0.3022013306617737,0.5661035180091858,0.050571803003549576,0.1390543133020401,0.6910861730575562,0.08757173269987106,0.26676633954048157,0.31425559520721436,0.005753048695623875,9.590724221197888e-05,0.003397115506231785,0.0015303571708500385,0.0015506993513554335,0.0042776139453053474,0.0018229911802336574,0.02759665809571743,0.005971613340079784,7.966960401972756e-05,0.004210537765175104,0.0036155821289867163,0.00134750222787261,0.0018184571526944637,0.002201291499659419,0.028528250753879547
2,3 5 10 19 23,2000,2000,2000,56,0.38112203776836395,0.3799540400505066,0.7194179892539978,0.028156958520412445,0.05719934403896332,1.2352871894836426,0.2212221473455429,0.2236725091934204,0.17472204566001892,0.32903817296028137,0.8292915225028992,0.05664544180035591,0.08104909211397171,0.759330153465271,0.14075210690498352,0.1934036910533905,0.24279527366161346,0.004134817514568567,7.756864943075925e-05,0.0023060080129653215,0.001569089014083147,0.002003770088776946,0.004022762179374695,0.0023287793155759573,0.016635743901133537,0.005124840419739485,8.941544365370646e-05,0.004639164078980684,0.002223334042355418,0.0012317176442593336,0.0025594746693968773,0.0020136323291808367,0.023117145523428917
3,8 15 23 34 37,2000,2000,2000,39,0.3711380660533905,0.3699791133403778,0.8942974805831909,0.03603530675172806,0.04454139620065689,0.9317867755889893,0.19106335937976837,0.2579486668109894,0.23418064415454865,0.3164897859096527,0.8433802723884583,0.05188719928264618,0.08901652693748474,0.5957258939743042,0.10670915991067886,0.24272502958774567,0.285984605550766,0.005608276464045048,8.089707989711314e-05,0.00316461268812418,0.0013347807107493281,0.0017854131292551756,0.0042501878924667835,0.0023172206711024046,0.02632482349872589,0.006449210923165083,7.629112951690331e-05,0.004556721076369286,0.0026675716508179903,0.0011414826149120927,0.002373738680034876,0.0021804608404636383,0.03214821219444275
4,6 15 19 25 30,2000,2000,2000,27,0.4948499798774719,0.49631232023239136,1.6712493896484375,0.031128274276852608,0.09755823761224747,0.9558038115501404,0.1753232479095459,0.24933922290802002,0.29378384351730347,0.4257991313934326,1.364222764968872,0.05710700526833534,0.08446461707353592,0.6000056862831116,0.19844728708267212,0.23123130202293396,0.44511526823043823,0.005545027554035187,0.00011751649435609579,0.002503554103896022,0.0023519000969827175,0.0016370906960219145,0.00438696751371026,0.002152788918465376,0.025665372610092163,0.007657234091311693,9.592744027031586e-05,0.004592937882989645,0.0020362427458167076,0.00102768256329,0.004965581931173801,0.001996444771066308,0.03888582065701485
