rank,episode_index,frames,top_frames,episode_score,episode_pc_score,episode_ras_score,mean_frame_score,mean_action_delta,mean_visual_delta,phase_coverage
1,36,400,80,1.253870964050293,1.509521245956421,0.9414094090461731,0.5477547645568848,0.009047470055520535,0.060640204697847366,5
2,18,400,80,1.2437105178833008,1.5125195980072021,0.915165901184082,0.5830525159835815,0.008430792950093746,0.07141491770744324,5
3,30,400,80,1.2399406433105469,1.5217782258987427,0.8954723477363586,0.5866983532905579,0.010057699866592884,0.06617681682109833,5
4,20,400,80,1.2218791246414185,1.4419467449188232,0.9529074430465698,0.5647693872451782,0.009291593916714191,0.06509822607040405,5
5,6,400,80,1.2218259572982788,1.4488506317138672,0.9443514943122864,0.5649263262748718,0.00940490048378706,0.059133823961019516,5
6,25,400,80,1.21796452999115,1.4772005081176758,0.9011205434799194,0.549385666847229,0.008839616551995277,0.06587010622024536,5
7,13,400,80,1.213019847869873,1.4865074157714844,0.878757119178772,0.5576235055923462,0.00877187866717577,0.06383337825536728,5
8,33,400,80,1.212367296218872,1.5024515390396118,0.8578197360038757,0.5515363216400146,0.008755138143897057,0.06782057136297226,5
9,11,400,80,1.2106598615646362,1.4873300790786743,0.8725074529647827,0.5680204629898071,0.009363786317408085,0.06318578124046326,5
10,38,400,80,1.2101714611053467,1.486434817314148,0.8725161552429199,0.5714378356933594,0.008613133803009987,0.06934908032417297,5
11,21,400,80,1.2083412408828735,1.486666202545166,0.8681661486625671,0.5577849745750427,0.008636578917503357,0.06137062609195709,5
12,0,400,80,1.2079887390136719,1.4660224914550781,0.8926140666007996,0.5414060354232788,0.008546414785087109,0.06800931692123413,5
13,2,400,80,1.2049763202667236,1.4033085107803345,0.9625700116157532,0.5931702256202698,0.009331791661679745,0.06610406935214996,5
14,31,400,80,1.2015101909637451,1.49958336353302,0.8371987342834473,0.5774567127227783,0.008448914624750614,0.07032778114080429,5
15,17,400,80,1.2008748054504395,1.4721862077713013,0.8692717552185059,0.5436537265777588,0.007782320957630873,0.06680409610271454,5
16,32,400,80,1.1970447301864624,1.475136160850525,0.8571553230285645,0.5616465210914612,0.009045716375112534,0.06598050892353058,5
17,7,400,80,1.1958279609680176,1.4320553541183472,0.907105565071106,0.5668174028396606,0.00932389497756958,0.06103409454226494,5
18,39,400,80,1.1929874420166016,1.4265326261520386,0.9075433611869812,0.5429816842079163,0.009277152828872204,0.05689437687397003,5
19,16,400,80,1.1898024082183838,1.4627491235733032,0.8562008142471313,0.5520347952842712,0.008622324094176292,0.06512963026762009,5
20,8,400,80,1.1860076189041138,1.4464118480682373,0.8677356839179993,0.547742486000061,0.009607498534023762,0.060155242681503296,5
21,3,400,80,1.1846063137054443,1.4237995147705078,0.8922592401504517,0.5305389761924744,0.008227606303989887,0.06116221472620964,5
22,1,400,80,1.1822419166564941,1.3999587297439575,0.9161435961723328,0.5475163459777832,0.008757151663303375,0.06057703122496605,5
23,26,400,80,1.1777400970458984,1.4274359941482544,0.8725563287734985,0.5524463057518005,0.009170393459498882,0.06304722279310226,5
24,37,400,80,1.1775466203689575,1.4566539525985718,0.8364154100418091,0.5603327751159668,0.008882361464202404,0.06825808435678482,5
25,4,400,80,1.1765187978744507,1.4427248239517212,0.8511558771133423,0.5492698550224304,0.007888110354542732,0.06687705963850021,5
26,35,400,80,1.1735410690307617,1.4489164352416992,0.8369711637496948,0.5261892676353455,0.008590418845415115,0.05944512411952019,5
27,34,400,80,1.1708941459655762,1.4447247982025146,0.836212158203125,0.5722423791885376,0.008904430083930492,0.0699010118842125,5
28,24,400,80,1.1699192523956299,1.4432470798492432,0.835851788520813,0.5476837158203125,0.009352488443255424,0.061172809451818466,5
29,14,400,80,1.169715166091919,1.4281247854232788,0.8538811802864075,0.552170991897583,0.009197580628097057,0.06025990471243858,5
30,9,400,80,1.1671491861343384,1.4322559833526611,0.8431296348571777,0.5443324446678162,0.008903509005904198,0.0595412477850914,5
31,29,400,80,1.155735731124878,1.4257323741912842,0.8257396817207336,0.5546939969062805,0.008988026529550552,0.06473790109157562,5
32,23,400,80,1.1507824659347534,1.39469313621521,0.8526691198348999,0.5439144968986511,0.009210288524627686,0.06004270538687706,5
33,19,400,80,1.1422704458236694,1.4266109466552734,0.7947429418563843,0.5212886929512024,0.007914785295724869,0.059160515666007996,5
34,10,400,80,1.14115571975708,1.3758469820022583,0.8543108105659485,0.5677171349525452,0.00888182781636715,0.06192576512694359,5
35,15,400,80,1.1386559009552002,1.3981904983520508,0.8214470148086548,0.524594247341156,0.008207796141505241,0.06236913800239563,5
36,5,400,80,1.126491904258728,1.3486857414245605,0.8549215197563171,0.5326997637748718,0.008193696849048138,0.06036417931318283,5
37,28,400,80,1.1237514019012451,1.40777587890625,0.7766107320785522,0.5215579271316528,0.008299672044813633,0.062412556260824203,5
38,27,400,80,1.1154838800430298,1.3621375560760498,0.8140180706977844,0.5207433104515076,0.008063268847763538,0.06129596754908562,5
39,12,400,80,1.0878318548202515,1.3208034038543701,0.8030887842178345,0.5312591791152954,0.008230309933423996,0.06160601228475571,5
40,22,400,80,1.0869057178497314,1.344713568687439,0.771807074546814,0.4829643964767456,0.00742071820423007,0.05585137754678726,5
