method,selection_order,episode_index,final_score,saliency_score,diversity_score,raw_diversity_distance,source_episode_score
action_delta_only,1,30,1.0,1.0,1.0,1.0,1.0
action_delta_only,2,36,0.8280102014541626,0.8280102014541626,0.4997859597206116,0.07452824711799622,0.8280102014541626
action_delta_only,3,20,0.8195310831069946,0.8195310831069946,0.8323156237602234,0.12411518394947052,0.8195310831069946
action_delta_only,4,25,0.8095524907112122,0.8095524907112122,0.6653539538383484,0.09501089155673981,0.8095524907112122
action_delta_only,5,8,0.7273678779602051,0.7273678779602051,0.5419807434082031,0.07739350199699402,0.7273678779602051
