method,selection_order,episode_index,final_score,saliency_score,diversity_score,raw_diversity_distance,source_episode_score
visual_delta_only,1,37,1.0,1.0,1.0,1.0,1.0
visual_delta_only,2,0,0.9302089214324951,0.9302089214324951,0.7316420078277588,0.14576078951358795,0.9302089214324951
visual_delta_only,3,33,0.8777098059654236,0.8777098059654236,0.6146134734153748,0.09453673660755157,0.8777098059654236
visual_delta_only,4,18,0.8644117116928101,0.8644117116928101,0.6195156574249268,0.0904429480433464,0.8644117116928101
visual_delta_only,5,20,0.7413434982299805,0.7413434982299805,0.7225260734558105,0.09473808109760284,0.7413434982299805
