method,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
resnet18_random10,data/coresets/resnet18_random_episode_seed0.json,0,2 16 24 26 32,2000,2000,2000,36,0.6570539474487305,0.6551215052604675,2.3308916091918945,0.05461610108613968,0.04593731835484505,1.0965903997421265,0.17835508286952972,0.46412554383277893,0.4153345823287964,0.6203750967979431,2.434638500213623,0.06202986463904381,0.1305166631937027,0.8664681315422058,0.07064291834831238,0.44787096977233887,0.33045876026153564,0.007883627898991108,0.00020456017227843404,0.005546882748603821,0.0014453919138759375,0.002447677543386817,0.0044218022376298904,0.002810932695865631,0.038308147341012955,0.006785391829907894,0.0002136651601176709,0.006299838423728943,0.004106638487428427,0.0019340263679623604,0.0017513897037133574,0.0027124909684062004,0.030479691922664642
resnet18_random10,data/coresets/resnet18_random_episode_seed1.json,1,4 7 8 16 36,2000,2000,2000,92,0.24869097024202347,0.24869738519191742,0.5561137199401855,0.030574625357985497,0.034528687596321106,0.5705773830413818,0.15945592522621155,0.16248217225074768,0.22714921832084656,0.2902624011039734,0.7410152554512024,0.05509204417467117,0.12603168189525604,0.5497815608978271,0.053822699934244156,0.2872723639011383,0.2188212275505066,0.004272405058145523,7.826386718079448e-05,0.0025456028524786234,0.0008977873367257416,0.0011125316377729177,0.0033111535012722015,0.0013407634105533361,0.020620733499526978,0.004627563990652561,0.00010428566747577861,0.004586892668157816,0.0032769700046628714,0.0010719834826886654,0.0011176461121067405,0.0023705007042735815,0.019864670932292938
resnet18_random10,data/coresets/resnet18_random_episode_seed2.json,2,3 5 10 19 23,2000,2000,2000,48,0.4192124605178833,0.4192635416984558,0.7939188480377197,0.03010181151330471,0.03285093605518341,1.3690179586410522,0.21654696762561798,0.3074128031730652,0.1849951148033142,0.3556371033191681,0.7085548043251038,0.08543188869953156,0.08603157848119736,1.0086991786956787,0.1673286259174347,0.2344227433204651,0.1989910751581192,0.004346427042037249,8.560140850022435e-05,0.0024652904830873013,0.0009011640795506537,0.002220697933807969,0.00393774826079607,0.003200639970600605,0.01761384680867195,0.005071321967989206,7.639749674126506e-05,0.006996719166636467,0.0023600137792527676,0.001636222586967051,0.0030427502933889627,0.0024407044984400272,0.018946444615721703
resnet18_random10,data/coresets/resnet18_random_episode_seed3.json,3,8 15 23 34 37,2000,2000,2000,52,0.37242981791496277,0.37043261528015137,0.9527735114097595,0.021966805681586266,0.04138180986046791,0.9618743658065796,0.14404107630252838,0.2527373135089874,0.21825331449508667,0.351205050945282,1.081430196762085,0.042154137045145035,0.09032978862524033,0.7323194146156311,0.07870163023471832,0.2890019416809082,0.14449818432331085,0.0050153485499322414,8.618676656624302e-05,0.001929120160639286,0.0012400973355397582,0.0018430646741762757,0.0032041799277067184,0.002270403318107128,0.02453438937664032,0.004071453120559454,9.782477718545124e-05,0.003701962297782302,0.002706928178668022,0.0014032109174877405,0.0017507125157862902,0.0025961794890463352,0.016243355348706245
resnet18_random10,data/coresets/resnet18_random_episode_seed4.json,4,6 15 19 25 30,2000,2000,2000,31,0.45619140565395355,0.45750921964645386,1.6186856031417847,0.04999445751309395,0.05624198168516159,0.8365657329559326,0.17524407804012299,0.1714874505996704,0.2943452000617981,0.46191924810409546,1.484838604927063,0.10219040513038635,0.12717771530151367,0.681816816329956,0.1269308626651764,0.3629847466945648,0.34749555587768555,0.005500501487404108,0.00011382025695638731,0.004020899999886751,0.0013558596838265657,0.0014328612014651299,0.004384987521916628,0.0014806174440309405,0.025714464485645294,0.007032117806375027,0.00010440846381243318,0.008218870498239994,0.0030659479089081287,0.001167808542959392,0.0031760812271386385,0.003134005004540086,0.03035770170390606
