selection_order,episode_index,final_score,saliency_score,diversity_score,raw_diversity_distance,source_episode_score
1,36,1.0,1.0,1.0,1.0,1.253870964050293
2,20,0.8496925830841064,0.8083922266960144,0.9263932108879089,0.1526913195848465,1.2218791246414185
3,6,0.7988011837005615,0.8080738186836243,0.7815806269645691,0.11772697418928146,1.2218259572982788
4,30,0.8295466899871826,0.9165675640106201,0.6679366230964661,0.07452824711799622,1.2399406433105469
5,18,0.7980392575263977,0.9391463398933411,0.5359833836555481,0.05980492755770683,1.2437105178833008
