method,budget_percent,budget_episodes,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
Random,5,2,data/coresets/budget_random_5pct_seed0.json,0,24 26,800,2000,2000,62,0.5350332409143448,0.5365023016929626,1.800682544708252,0.04515375196933746,0.07311204075813293,0.4887203872203827,0.1800784021615982,0.7591585516929626,0.4086105227470398,0.6518054008483887,1.5128613710403442,0.09807471930980682,0.16336652636528015,0.7006551027297974,0.09280265867710114,1.4497084617614746,0.5451689958572388,0.007543250918388367,0.00013390100502874702,0.004265139810740948,0.0021469267085194588,0.0015589460963383317,0.003809383837506175,0.0024358807131648064,0.03845257684588432,0.010618148371577263,0.0001124985865317285,0.009263955056667328,0.004797228146344423,0.002234985586255789,0.00196314905770123,0.004651612136512995,0.05130361020565033
Random,5,2,data/coresets/budget_random_5pct_seed1.json,1,8 36,800,2000,2000,31,0.32940614223480225,0.32858720421791077,0.6743161678314209,0.07276196777820587,0.11841212958097458,0.5573405027389526,0.18684087693691254,0.22984468936920166,0.4605940282344818,0.3259293735027313,0.5996402502059937,0.1451539695262909,0.21881167590618134,0.4091101288795471,0.12961643934249878,0.2953639328479767,0.483809232711792,0.008135749027132988,0.00010121543891727924,0.005494181998074055,0.0028418698348104954,0.0018112834077328444,0.004162627272307873,0.002339488361030817,0.04019957780838013,0.009393034502863884,9.000660793390125e-05,0.010960422456264496,0.005251447670161724,0.001329556223936379,0.0028877262957394123,0.003006379120051861,0.04222569614648819
Random,5,2,data/coresets/budget_random_5pct_seed2.json,2,3 5,800,2000,2000,15,1.2829972505569458,1.274932622909546,1.2387969493865967,0.1295529007911682,0.14326001703739166,6.090980529785156,0.29430338740348816,0.5051678419113159,0.5224666595458984,0.7559311985969543,1.2640531063079834,0.10766007751226425,0.272208571434021,2.6480460166931152,0.23489050567150116,0.34880468249320984,0.41585540771484375,0.011943324469029903,0.00015073674148879945,0.009417299181222916,0.0035189432092010975,0.003930197563022375,0.003586054313927889,0.0039754887111485004,0.05902455002069473,0.009851730428636074,0.00015381042612716556,0.007825890555977821,0.006686348933726549,0.0017086463049054146,0.0028621095698326826,0.002744966885074973,0.046980343759059906
Random,5,2,data/coresets/budget_random_5pct_seed3.json,3,15 37,800,2000,2000,26,0.4486636817455292,0.4476730525493622,1.0887056589126587,0.07941846549510956,0.10961638391017914,0.6794566512107849,0.20910492539405823,0.5790852904319763,0.38832366466522217,0.47987350821495056,0.9939744472503662,0.14606641232967377,0.20776277780532837,0.5576614141464233,0.15485408902168274,0.9437987208366394,0.35499677062034607,0.009634832851588726,0.00010339108121115714,0.007600081153213978,0.003401131834834814,0.0018393169157207012,0.004636992700397968,0.0021402863785624504,0.04772263392806053,0.010368214920163155,9.439474524697289e-05,0.013978041708469391,0.006446390878409147,0.0015096089337021112,0.0034339595586061478,0.003488264512270689,0.043626848608255386
Random,5,2,data/coresets/budget_random_5pct_seed4.json,4,15 19,800,2000,2000,47,0.5709778964519501,0.5733561515808105,2.3978140354156494,0.041741348803043365,0.08345320075750351,0.6393871307373047,0.17737960815429688,0.30155396461486816,0.3721635937690735,0.5796718001365662,2.2657268047332764,0.07197560369968414,0.10863209515810013,0.6523976922035217,0.20114827156066895,0.3487347960472107,0.40908700227737427,0.006329793017357588,0.00016318581765517592,0.0033132846001535654,0.0021666630636900663,0.0014351292047649622,0.003795239143073559,0.0018331363098695874,0.0316019132733345,0.007330440450459719,0.00015419640112668276,0.005713179707527161,0.002820367459207773,0.0014643322210758924,0.004303801339119673,0.002119947224855423,0.03473725914955139
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,0,36 20,800,2000,2000,17,0.38592223823070526,0.38488245010375977,0.9450731873512268,0.05492551252245903,0.1088380441069603,0.4846610426902771,0.18397080898284912,0.4020083546638489,0.5147001147270203,0.5073911547660828,0.9629441499710083,0.11944582313299179,0.20720547437667847,0.5918061137199402,0.16876967251300812,0.8506391644477844,0.6509280204772949,0.009240737184882164,0.00013834558194503188,0.004813353065401316,0.002906220266595483,0.001718936488032341,0.005356869660317898,0.0023861252702772617,0.04736530780792236,0.012586464174091816,0.00014096182712819427,0.01046753115952015,0.005532860290259123,0.002098948461934924,0.004914250690490007,0.005048984661698341,0.05990171432495117
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,1,36 20,800,2000,2000,59,0.38631467521190643,0.38506415486335754,1.1731719970703125,0.04981455206871033,0.05396454781293869,0.4717669188976288,0.17539654672145844,0.439594566822052,0.3317398428916931,0.5446006059646606,1.2426337003707886,0.11583857983350754,0.13718688488006592,0.7448583245277405,0.1078929752111435,0.9528917670249939,0.5109020471572876,0.006556598003953695,0.00017173614469356835,0.004365449771285057,0.0014409763971343637,0.001673202496021986,0.00510719558224082,0.0026092184707522392,0.03052840754389763,0.010350235737860203,0.00018190448463428766,0.010151412338018417,0.003663203213363886,0.002641771687194705,0.0031416346319019794,0.0056559015065431595,0.04701582342386246
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,2,36 20,800,2000,2000,8,0.37937985360622406,0.3782398998737335,0.6814781427383423,0.11187247186899185,0.13823163509368896,0.48545634746551514,0.22095619142055511,0.4551033675670624,0.5545811057090759,0.4585270881652832,0.6828254461288452,0.2088623195886612,0.2160591036081314,0.427496999502182,0.19009245932102203,0.8274022936820984,0.6569509506225586,0.010783853009343147,9.975922876037657e-05,0.009803843684494495,0.003691096557304263,0.0017217578133568168,0.0064338198862969875,0.0027012722566723824,0.05103542283177376,0.013798721134662628,9.995625441661105e-05,0.01830347627401352,0.005769267212599516,0.0015161935007199645,0.00553513178601861,0.004911052528768778,0.06045597046613693
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,3,36 20,800,2000,2000,22,0.3936094492673874,0.39249423146247864,0.9123976826667786,0.07475852966308594,0.10260345786809921,0.4903971552848816,0.19434607028961182,0.45773541927337646,0.515221357345581,0.4868016242980957,0.9372437000274658,0.15504315495491028,0.2042149007320404,0.5190727710723877,0.13980253040790558,0.8734827637672424,0.5787515640258789,0.009564722888171673,0.00013356258568819612,0.006551396567374468,0.0027397440280765295,0.0017392785521224141,0.005658977199345827,0.0027168907690793276,0.047413215041160583,0.011933323927223682,0.00013719976413995028,0.013587083667516708,0.005453003104776144,0.0018409823533147573,0.004070772789418697,0.005184559617191553,0.05325966328382492
PC-RAS,5,2,data/coresets/budget_pc_ras_5pct_top2.json,4,36 20,800,2000,2000,17,0.3919734060764313,0.39043593406677246,0.8864421248435974,0.07701215893030167,0.11194321513175964,0.4796755909919739,0.24728693068027496,0.4089907705783844,0.5217007994651794,0.5009081363677979,0.9161128401756287,0.1429404318332672,0.22768205404281616,0.6375121474266052,0.17868788540363312,0.7972408533096313,0.6061808466911316,0.009886662475764751,0.00012976313882973045,0.0067488872446119785,0.0029891375452280045,0.0017012525349855423,0.007200523745268583,0.002427571453154087,0.04800950735807419,0.012388593517243862,0.0001341064926236868,0.012526446022093296,0.006079628132283688,0.0022610484156757593,0.005203036591410637,0.004732029512524605,0.05578386038541794
