method,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
resnet18_pc_ras,data/coresets/pc_ras_episode_top5.json,0,36 20 6 30 18,2000,2000,2000,68,0.26355674117803574,0.26205411553382874,0.8711592555046082,0.028418349102139473,0.03405551612377167,0.33041808009147644,0.14143967628479004,0.2220747321844101,0.20681309700012207,0.3653271496295929,0.9363840222358704,0.03804388269782066,0.06409478932619095,0.6206153035163879,0.11350858211517334,0.4963434040546417,0.2882999777793884,0.003876469563692808,9.588772081770003e-05,0.002424294129014015,0.0008560752030462027,0.0009551426628604531,0.0032901086378842592,0.0016147956484928727,0.017898982390761375,0.005422084126621485,0.00010306656622560695,0.003245415398851037,0.0016111916629597545,0.0017940151738002896,0.002640387276187539,0.0036091157235205173,0.024951396510004997
resnet18_pc_ras,data/coresets/pc_ras_episode_top5.json,1,36 20 6 30 18,2000,2000,2000,80,0.2582370266318321,0.2566426694393158,0.8273614645004272,0.03434321656823158,0.03253500536084175,0.34929394721984863,0.15372884273529053,0.19960762560367584,0.19962865114212036,0.37033820152282715,0.9744170904159546,0.06890930980443954,0.07724498212337494,0.5550700426101685,0.1314796507358551,0.5521737933158875,0.23307257890701294,0.0038789946120232344,9.106665675062686e-05,0.0029297303408384323,0.0008178528514690697,0.0010097037302330136,0.0035759746097028255,0.0014514304930344224,0.017277203500270844,0.005253884941339493,0.00010725302126957104,0.005878472235053778,0.0019417585572227836,0.0016045444644987583,0.0030584237538278103,0.004015081096440554,0.02017166092991829
resnet18_pc_ras,data/coresets/pc_ras_episode_top5.json,2,36 20 6 30 18,2000,2000,2000,60,0.2672238349914551,0.26578691601753235,0.8386906981468201,0.02996131405234337,0.03302600607275963,0.3737419545650482,0.1585092395544052,0.23287835717201233,0.19370076060295105,0.3384168744087219,0.9009199142456055,0.05085301771759987,0.07160168886184692,0.4870705306529999,0.10770055651664734,0.487893670797348,0.2628788650035858,0.0038147899322211742,9.23137558856979e-05,0.0025559153873473406,0.0008301954949274659,0.0010803794721141458,0.0036871787160634995,0.0016933562001213431,0.016764191910624504,0.0052070626989007,9.916318231262267e-05,0.004338131286203861,0.001799898105673492,0.0014079780085012317,0.0025052812416106462,0.0035476800985634327,0.022751307114958763
resnet18_pc_ras,data/coresets/pc_ras_episode_top5.json,3,36 20 6 30 18,2000,2000,2000,71,0.2598913162946701,0.2585013508796692,0.8055118918418884,0.03711483255028725,0.02960645966231823,0.34124431014060974,0.17437058687210083,0.21320554614067078,0.20845578610897064,0.35797667503356934,0.866412878036499,0.05831349268555641,0.07598626613616943,0.5233235955238342,0.10608713328838348,0.5425639748573303,0.33314943313598633,0.004090443253517151,8.86617272044532e-05,0.003166165901347995,0.0007442373898811638,0.0009864347521215677,0.004056140314787626,0.0015503063332289457,0.018041156232357025,0.006248398218303919,9.536506695440039e-05,0.004974566400051117,0.0019101101206615567,0.0015127756632864475,0.002467752667143941,0.003945201635360718,0.028833014890551567
resnet18_pc_ras,data/coresets/pc_ras_episode_top5.json,4,36 20 6 30 18,2000,2000,2000,86,0.2609381079673767,0.2593460977077484,0.8325578570365906,0.03751280903816223,0.028590990230441093,0.3560817539691925,0.1618322730064392,0.19843663275241852,0.20041051506996155,0.3735208213329315,0.9492233991622925,0.05860963091254234,0.07368402183055878,0.5398849844932556,0.12011303007602692,0.5437789559364319,0.32935160398483276,0.0039417194202542305,9.163856157101691e-05,0.0032001142390072346,0.0007187096634879708,0.001029326464049518,0.0037644696421921253,0.0014429136645048857,0.017344864085316658,0.006252795923501253,0.00010448000102769583,0.004999831784516573,0.001852242392487824,0.0015606473898515105,0.002794019179418683,0.003954041749238968,0.02850431017577648
